route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"100127","WEEKDAY","21649829","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273706","11235028"
"100127","WEEKDAY","21649831","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273706","20235029"
"100127","WEEKDAY","21649710","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20235029"
"100127","WEEKDAY","21649718","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20235029"
"100127","WEEKDAY","21649732","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273707","11235028"
"100127","WEEKDAY","21649740","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273707","11235028"
"100127","WEEKDAY","21649747","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273707","11235028"
"100127","WEEKDAY","21649761","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20235029"
"100126","WEEKDAY","21649774","KENMORE, KIRKLAND","LOCAL",0,"3273707","11234079"
"100126","WEEKDAY","21649776","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20234080"
"100126","WEEKDAY","21649792","KENMORE, KIRKLAND","LOCAL",0,"3273707","11234079"
"100126","WEEKDAY","21649793","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20234080"
"100126","WEEKDAY","21649804","KENMORE, KIRKLAND","LOCAL",0,"3273707","11234079"
"100126","WEEKDAY","21649805","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273707","20234080"
"100127","WEEKDAY","21649724","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273708","20235029"
"100127","WEEKDAY","21649748","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273708","11235028"
"100127","WEEKDAY","21649759","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273708","20235029"
"100126","WEEKDAY","21649813","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273708","20234080"
"100126","WEEKDAY","21649819","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273708","20234080"
"100126","WEEKDAY","21649820","KENMORE, KIRKLAND","LOCAL",0,"3273708","11234079"
"100127","WEEKDAY","21649825","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273708","11235028"
"100127","WEEKDAY","21649833","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273708","20235029"
"100127","WEEKDAY","21649835","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273708","11235028"
"100127","WEEKDAY","21649708","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20235029"
"100127","WEEKDAY","21649715","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20235029"
"100127","WEEKDAY","21649729","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273709","11235028"
"100127","WEEKDAY","21649737","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273709","11235028"
"100127","WEEKDAY","21649753","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273709","11235028"
"100127","WEEKDAY","21649756","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20235029"
"100126","WEEKDAY","21649777","KENMORE, KIRKLAND","LOCAL",0,"3273709","11234079"
"100126","WEEKDAY","21649778","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20234080"
"100126","WEEKDAY","21649796","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20234080"
"100126","WEEKDAY","21649806","KENMORE, KIRKLAND","LOCAL",0,"3273709","11234079"
"100126","WEEKDAY","21649807","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273709","20234080"
"100126","WEEKDAY","21649814","KENMORE, KIRKLAND","LOCAL",0,"3273709","11234079"
"100126","WEEKDAY","21649815","KENMORE, KIRKLAND","LOCAL",0,"3273709","11234079"
"100127","WEEKDAY","21649704","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20235029"
"100127","WEEKDAY","21649709","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20235029"
"100127","WEEKDAY","21649717","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20235029"
"100127","WEEKDAY","21649723","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20235029"
"100127","WEEKDAY","21649731","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273710","11235028"
"100127","WEEKDAY","21649739","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273710","11235028"
"100127","WEEKDAY","21649746","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273710","11235028"
"100126","WEEKDAY","21649763","KENMORE, KIRKLAND","LOCAL",0,"3273710","11234079"
"100126","WEEKDAY","21649764","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20234080"
"100126","WEEKDAY","21649773","KENMORE, KIRKLAND","LOCAL",0,"3273710","11234079"
"100126","WEEKDAY","21649781","KENMORE, KIRKLAND","LOCAL",0,"3273710","11234079"
"100126","WEEKDAY","21649782","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20234080"
"100126","WEEKDAY","21649798","KENMORE, KIRKLAND","LOCAL",0,"3273710","11234079"
"100126","WEEKDAY","21649799","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273710","20234080"
"100127","WEEKDAY","21649711","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20235029"
"100127","WEEKDAY","21649719","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20235029"
"100127","WEEKDAY","21649725","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273711","11235028"
"100127","WEEKDAY","21649733","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273711","11235028"
"100127","WEEKDAY","21649741","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273711","11235028"
"100127","WEEKDAY","21649749","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273711","11235028"
"100127","WEEKDAY","21649762","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20235029"
"100126","WEEKDAY","21649767","KENMORE, KIRKLAND","LOCAL",0,"3273711","11234079"
"100126","WEEKDAY","21649768","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20234080"
"100126","WEEKDAY","21649785","KENMORE, KIRKLAND","LOCAL",0,"3273711","11234079"
"100126","WEEKDAY","21649787","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20234080"
"100126","WEEKDAY","21649809","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273711","20234080"
"100126","WEEKDAY","21649811","KENMORE, KIRKLAND","LOCAL",0,"3273711","11234079"
"100127","WEEKDAY","21649705","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20235029"
"100127","WEEKDAY","21649712","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20235029"
"100127","WEEKDAY","21649720","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20235029"
"100127","WEEKDAY","21649726","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273712","11235028"
"100127","WEEKDAY","21649734","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273712","11235028"
"100127","WEEKDAY","21649742","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273712","11235028"
"100127","WEEKDAY","21649750","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273712","11235028"
"100126","WEEKDAY","21649772","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20234080"
"100126","WEEKDAY","21649779","KENMORE, KIRKLAND","LOCAL",0,"3273712","11234079"
"100126","WEEKDAY","21649780","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20234080"
"100126","WEEKDAY","21649795","KENMORE, KIRKLAND","LOCAL",0,"3273712","11234079"
"100126","WEEKDAY","21649797","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20234080"
"100126","WEEKDAY","21649808","KENMORE, KIRKLAND","LOCAL",0,"3273712","11234079"
"100127","WEEKDAY","21649823","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273712","11235028"
"100127","WEEKDAY","21649826","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273712","20235029"
"100127","WEEKDAY","21649702","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273713","11235028"
"100127","WEEKDAY","21649707","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20235029"
"100127","WEEKDAY","21649714","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20235029"
"100127","WEEKDAY","21649728","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273713","11235028"
"100127","WEEKDAY","21649736","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273713","11235028"
"100127","WEEKDAY","21649744","TOTEM LAKE, KIRKLAND","LOCAL",0,"3273713","11235028"
"100127","WEEKDAY","21649752","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20235029"
"100127","WEEKDAY","21649754","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20235029"
"100126","WEEKDAY","21649765","KENMORE, KIRKLAND","LOCAL",0,"3273713","11234079"
"100126","WEEKDAY","21649766","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20234080"
"100126","WEEKDAY","21649786","BELLEVUE TC, KIRKLAND","LOCAL",1,"3273713","20234080"
"100126","WEEKDAY","21649794","KENMORE, KIRKLAND","LOCAL",0,"3273713","11234079"
"100126","WEEKDAY","21649800","KENMORE, KIRKLAND","LOCAL",0,"3273713","11234079"
